id,name,faction,type,energy,atk,hp,effect,tooltip
SN-A17,Access Controller,SENTINEL,AGENT,3,1,4,"Taunt. Opponent can only play 1 card per turn while alive","Access control limits who can view or use resources in a system"
SN-A18,Cyber Forensics Agent,SENTINEL,AGENT,2,1,2,"On play: return one destroyed friendly Exploit from discard to hand","Digital forensics recovers evidence from devices after a security incident"
SN-A19,Data Backup Node,SENTINEL,AGENT,2,0,2,"When destroyed: return 1 friendly Agent from discard to hand","Regular backups ensure data can be recovered after ransomware or system failure"
SN-A20,Network Monitor,SENTINEL,AGENT,2,1,3,"Passive: opponent must play all cards face-up while alive","Network monitoring tracks all traffic to detect unauthorized or suspicious behavior"
SN-E01,Penetration Test,SENTINEL,EXPLOIT,3,0,0,"Deal 2 damage to all enemy Agents","Penetration testing simulates real attacks to find and fix vulnerabilities"
SN-E02,Vulnerability Scan,SENTINEL,EXPLOIT,1,0,0,"Reveal opponent top 3 deck cards","Vulnerability scanners check systems for known security weaknesses automatically"
SN-E03,Red Team Strike,SENTINEL,EXPLOIT,4,0,0,"Destroy any one Agent on the board","Red teams simulate real attackers to test how well defenses hold up"
SN-E04,Controlled Exploit,SENTINEL,EXPLOIT,2,0,0,"Copy and use the last Exploit opponent played","Authorized testers use the same tools as attackers to confirm real vulnerabilities"
SN-E05,Active Defense Strike,SENTINEL,EXPLOIT,3,0,0,"Deal 4 damage directly to opponent HP","Active defense takes direct action against attackers within authorized limits"
SN-E06,Counter-Intrusion,SENTINEL,EXPLOIT,3,0,0,"Destroy one enemy Agent that attacked this turn","Counter-intrusion neutralizes attackers who have already breached a system"
SN-E07,Deception Trap,SENTINEL,EXPLOIT,2,0,0,"Add a fake card to opponent hand that deals 2 damage when played","Deception technology plants false information to mislead and expose attackers"
SN-E08,Threat Simulation,SENTINEL,EXPLOIT,3,0,0,"Take control of one enemy Agent with 2 ATK or less for 1 turn","Threat simulations recreate attack scenarios so teams can practice their response"
SN-E09,Kill Chain Interrupt,SENTINEL,EXPLOIT,4,0,0,"Opponent skips their entire next turn","The cyber kill chain model shows that stopping any attack stage stops the whole attack"
SN-E10,Offensive Hardening,SENTINEL,EXPLOIT,2,0,0,"Give one friendly Agent +2 ATK permanently","System hardening removes unnecessary features and patches known vulnerabilities"
SN-E11,Reverse Shell,SENTINEL,EXPLOIT,3,0,0,"Return one enemy Agent to opponent hand","Security testers use reverse shells to remotely access systems during authorized tests"
SN-E12,Stress Test,SENTINEL,EXPLOIT,2,0,0,"Deal damage to one enemy Agent equal to its own ATK","Stress testing pushes a system to its limits to find performance weaknesses"
SN-E13,Full Disclosure,SENTINEL,EXPLOIT,4,0,0,"Destroy one enemy Agent and draw 1 card","Full disclosure publicly reveals vulnerabilities to pressure vendors into patching them"
SN-E14,Authorized Phish,SENTINEL,EXPLOIT,2,0,0,"Reveal opponent full hand","Authorized phishing tests measure whether employees can recognize fake emails"
SN-E15,Ethical Buffer Test,SENTINEL,EXPLOIT,3,0,0,"Destroy one Agent with 3 HP or less","Ethical testers trigger buffer overflows in safe environments to confirm and report flaws"
SN-P01,System Patch,SENTINEL,PROTOCOL,1,0,0,"When a friendly Agent receives a debuff: Remove that debuff immediately","Patches are updates that fix known security vulnerabilities in software"
SN-P02,Firewall Rule Update,SENTINEL,PROTOCOL,2,0,0,"When opponent plays an Exploit: Cancel it before it takes effect","Firewall rules are updated regularly to block newly discovered attack methods"
SN-P03,Incident Response Plan,SENTINEL,PROTOCOL,3,0,0,"When your HP drops to 10 or below: Restore 5 HP","An incident response plan defines steps to follow when a security breach occurs"
SN-P04,Two-Factor Authentication,SENTINEL,PROTOCOL,2,0,0,"When opponent attacks your HP directly: Negate the attack completely","2FA requires a second verification step making stolen passwords alone useless"
SN-P05,Digital Forensics,SENTINEL,PROTOCOL,2,0,0,"When a friendly Agent is destroyed: Return it to hand instead of discard","Digital forensics recovers evidence to understand how a breach happened"
SN-P06,CAPTCHA Lock,SENTINEL,PROTOCOL,1,0,0,"When opponent summons an Agent: That Agent cannot attack this turn","CAPTCHAs block automated bots by verifying the user is human"
SN-P07,Network Segmentation,SENTINEL,PROTOCOL,2,0,0,"When you take damage: Split that damage evenly across all friendly Agents","Segmentation divides a network into zones so breaches cannot spread freely"
SN-P08,Backup Restore,SENTINEL,PROTOCOL,4,0,0,"When your last Agent is destroyed: Revive it with full HP","Backups are the primary way to recover data after a ransomware attack"
SN-P09,Threat Containment,SENTINEL,PROTOCOL,3,0,0,"When opponent plays 2 or more Agents in one turn: Freeze all enemy Agents for 1 turn","Containment stops a threat from spreading while the team works to remove it"
SN-P10,Password Policy,SENTINEL,PROTOCOL,1,0,0,"When opponent plays a 1 Energy card: Cancel it and opponent loses 1 Energy","Strong password policies reduce the risk of credentials being stolen or guessed"
SN-P11,Encryption Protocol,SENTINEL,PROTOCOL,2,0,0,"When a friendly Agent is targeted by an Exploit: Give that Agent Exploit immunity for 2 turns","Encryption protects data in transit so intercepted information cannot be read"
SN-P12,Security Audit,SENTINEL,PROTOCOL,3,0,0,"When opponent activates a Protocol: Destroy it before it triggers","Security audits review systems regularly to find gaps before attackers exploit them"
SN-P13,Cyber Drill,SENTINEL,PROTOCOL,2,0,0,"When opponent declares an attack: All friendly Agents gain +1 HP","Cyber drills prepare teams to respond faster and more effectively to real attacks"
SN-P14,Kill Switch,SENTINEL,PROTOCOL,4,0,0,"When an enemy Agent reaches 5 ATK or more: Destroy it immediately","A kill switch shuts down a process the moment it becomes a critical threat"
SN-P15,Full Shutdown,SENTINEL,PROTOCOL,6,0,0,"When opponent has 3 or more active face-down Protocols: Destroy all of them at once","A full shutdown cuts off all system access to stop an ongoing attack immediately"
